href,title,id,Job Title,payment,job_description
/ru/jobs/3690225/,"Конструктор, помічник керівника",3690225,"Конструктор, помічник керівника",18 000 – 30 000 грн,Описание вакансии
href,title,id,Job Title,payment,job_description
/ru/jobs/4020774/,Менеджер по оптовым продажам,4020774,Менеджер по оптовым продажам,20 000 – 25 000 грн,"Компания «Мамин Дом» в активном поиске результативного Менеджера в направление оптовых продаж белья для беременных и кормящих мам, а также детской одежды "
href,title,id,Job Title,payment,job_description
/ru/jobs/4257016/,Администратор отдела продаж,4257016,Администратор отдела продаж,10 000 грн,Описание вакансии
href,title,id,Job Title,payment,job_description
/ru/jobs/4559146/,Слесарь-монтажник магистральных трубопроводов и котлового оборудования,4559146,Слесарь-монтажник магистральных трубопроводов и котлового оборудования,20 000 грн,На постоянную работу требуются слесари-монтажники магистральных трубопроводов и котлового оборудования. Возможно трудоустройство целой бригады и работа по совместительству.
href,title,id,Job Title,payment,job_description
/ru/jobs/4559144/,Сварщик-газорезчик котлового оборудования и магистральных трубопроводов,4559144,Сварщик-газорезчик котлового оборудования и магистральных трубопроводов,20 000 – 22 000 грн,На постоянную работу требуются сварщики магистральных трубопроводов и котлового оборудования. Возможно трудоустройство целой бригады и работа по совместительству.
href,title,id,Job Title,payment,job_description
/ru/jobs/4554394/,Account manager with english,4554394,Account manager with english,30 000 – 60 000 грн,"A successful company with many years of experience is looking for young, purposeful, development-oriented employees!"
href,title,id,Job Title,payment,job_description
/ru/jobs/3698058/,Рекрутер,3698058,Рекрутер,Payment is not specified,"Компанія SHEN — лідер на ринку України в наданні послуг FACILITY,"
href,title,id,Job Title,payment,job_description
/ru/jobs/4028403/,Прибиральниця (Васищево),4028403,Прибиральниця (Васищево),5 800 – 6 500 грн,Запрошуємо в свою команду: Прибиральників 
href,title,id,Job Title,payment,job_description
/ru/jobs/4316162/,"Прибиральник (ТЦ ""Блокбастер"")",4316162,"Прибиральник (ТЦ ""Блокбастер"")",Payment is not specified,Запрошуємо в свою команду: Прибиральник/ця 
href,title,id,Job Title,payment,job_description
/ru/jobs/4462620/,Прибиральниця,4462620,Прибиральниця,Payment is not specified,Запрошуємо в свою команду: прибиральників 
href,title,id,Job Title,payment,job_description
/ru/jobs/4201593/,Повар-универсал,4201593,Повар-универсал,Payment is not specified,"МЫ -компания АТЛАНТ-лидер продаж стройматериалов. В связи с заботой о своем персонале и возможностями кормить клиентов и гостей компании, приглашаем любящего свою профессию повара-универсала в ресторан "
href,title,id,Job Title,payment,job_description
/ru/jobs/4268908/,Прибиральниця,4268908,Прибиральниця,Payment is not specified,Запрошуємо в свою команду: Прибиральників 
href,title,id,Job Title,payment,job_description
/ru/jobs/4279640/,Прибиральниця,4279640,Прибиральниця,Payment is not specified,Запрошуємо в свою команду: Прибиральників
href,title,id,Job Title,payment,job_description
/ru/jobs/4153104/,Прибиральниця ТРЦ,4153104,Прибиральниця ТРЦ,Payment is not specified,Запрошуємо в свою команду: Прибиральника
href,title,id,Job Title,payment,job_description
/ru/jobs/4559101/,Оператор call-центра со знанием английского,4559101,Оператор call-центра со знанием английского,20 000 – 35 000 грн,HEY! WAT’S UP? 💰🚀 SALES MANAGER💲🔥RUS/ENG🔥
href,title,id,Job Title,payment,job_description
/ru/jobs/4530207/,Водій таксі на авто компанії,4530207,Водій таксі на авто компанії,28 000 – 40 000 грн,Автопарк «Joker Украина» приглашает на работу водителей на авто компании.
href,title,id,Job Title,payment,job_description
/ru/jobs/4540720/,Sales manager with english,4540720,Sales manager with english,25 000 – 60 000 грн,"A successful company with 15 years of experience is looking for young, purposeful, development-oriented employees! "
href,title,id,Job Title,payment,job_description
/ru/jobs/4536618/,Електромонтажник,4536618,Електромонтажник,16 000 – 20 000 грн,Вимоги: 
href,title,id,Job Title,payment,job_description
/ru/jobs/4469499/,Оператор call-центра (служба такси),4469499,Оператор call-центра (служба такси),Payment is not specified,Международная компания Teleperformance Ukraine расширяется и активно ищет оператора call-центра (служба такси).НЕ ДИСПЕТЧЕР!
href,title,id,Job Title,payment,job_description
/ru/jobs/4541339/,Комплектувальник,4541339,Комплектувальник,18 000 – 23 000 грн,Вимоги: 
href,title,id,Job Title,payment,job_description
/ru/jobs/4559076/,Комплектувальниця,4559076,Комплектувальниця,17 000 – 23 000 грн,Вимоги:
href,title,id,Job Title,payment,job_description
/ru/jobs/195708/,Печатник шелкотрафарета,195708,Печатник шелкотрафарета,18 000 – 25 000 грн,"Требуется Печатник трафаретной печати. Основная загрузка — полиэтиленовые пакеты, и крафт-пакеты."
href,title,id,Job Title,payment,job_description
/ru/jobs/4558091/,Помощник режиссера,4558091,Помощник режиссера,20 000 грн,"Привет! Перед тобой вакансия из будущего — того самого, в котором люди перестали просто ходить на работу и получать за это деньги. Мы вкладываем своё время, любовь и творческую энергию в создание контента, который смотрят во всем мире. "
href,title,id,Job Title,payment,job_description
/ru/jobs/4286208/,"Content writer, Copywriter in Humanities",4286208,"Content writer, Copywriter in Humanities",Payment is not specified,Looking for a Content writer/Copywriter in Humanities!
href,title,id,Job Title,payment,job_description
/ru/jobs/4286216/,"Content writer, Copywriter in Humanities",4286216,"Content writer, Copywriter in Humanities",Payment is not specified,Looking for a Content writer/Copywriter in Humanities!
href,title,id,Job Title,payment,job_description
/ru/jobs/3891186/,"Водитель на авто компании категории B (Uber, Uklon, Bolt)",3891186,"Водитель на авто компании категории B (Uber, Uklon, Bolt)",18 000 – 28 000 грн,"Юг-сервис — автопарк — партнер Uber, Bolt, Uklon, приглашает стать водителем на авто компании! "
href,title,id,Job Title,payment,job_description
/ru/jobs/4206157/,"English translator, editor, content writer",4206157,"English translator, editor, content writer",25 000 грн,Livingston Research delivers help and support to customers around the world since 2009.
href,title,id,Job Title,payment,job_description
/ru/jobs/4539902/,"Помощник (HR Department), рекрутер",4539902,"Помощник (HR Department), рекрутер",14 100 – 26 000 грн,Американская логистическая компания приглашает на работу сотрудника в HR отдел. 
href,title,id,Job Title,payment,job_description
/ru/jobs/4539893/,"Помощник (Customer Service), оператор по вводу данных (США)",4539893,"Помощник (Customer Service), оператор по вводу данных (США)",14 100 грн,Открываем конкурс на вакантную позицию в американской компании.
href,title,id,Job Title,payment,job_description
/ru/jobs/4539905/,"Customer Service Representative (Russian, English)",4539905,"Customer Service Representative (Russian, English)",26 000 грн,"Ищем активных, общительных и уверенных в себе сотрудников для удаленной работы на полную занятость на американскую компанию на мебельном проекте. Эта работа для Вас, если Вы — стрессоустойчивы и можете легко находить общий язык с любым человеком. Вашим преимуществом будет опыт работы в колл-центре и сфере продаж. "
href,title,id,Job Title,payment,job_description
/ru/jobs/4559046/,"Sales Agent, Car Shipping Broker (USA)",4559046,"Sales Agent, Car Shipping Broker (USA)",21 000 – 168 000 грн,"Приглашаем Вас стать частью нашего быстрорастущего Sales Department на позиции Sales Agent, Car Shipping Broker в одной из топовых американских логистических компаний. Если Вы с легкостью находите общий язык с любым человеком, умеете продавать или хотите этому научиться — наше предложение для Вас!"
href,title,id,Job Title,payment,job_description
/ru/jobs/4559043/,"Sales Agent, Car Shipping Broker (USA)",4559043,"Sales Agent, Car Shipping Broker (USA)",21 000 – 168 000 грн,"Приглашаем Вас стать частью нашего быстрорастущего Sales Department на позиции Sales Agent, Car Shipping Broker в одной из топовых американских логистических компаний. Если Вы с легкостью находите общий язык с любым человеком, умеете продавать или хотите этому научиться — наше предложение для Вас!"
href,title,id,Job Title,payment,job_description
